DRG Definition,Provider State,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CT,306,24494.32353,8774.062092,7117.490196
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CO,325,40016.53538,7133.4,5573.510769
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WV,411,20281.11436,6505.097324,4976.121655
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IA,422,25144.00474,6475.481043,5168.843602
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OK,445,26297.24719,6276.957303,4845.337079
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MN,478,27290.53347,7857.690377,6209.8159
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MS,493,29687.42191,6261.685598,5046.340771
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WA,514,38663.82101,8245.365759,6212.433852
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,KS,526,25500.37833,6213.209125,4937.325095
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AZ,563,40712.18295,7464.806394,5989.42984
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WI,589,28275.73175,7167.33107,5678.49236
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AR,615,26511.54959,6035.57561,4787.674797
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,KY,658,24870.5076,6534.993921,5203.655015
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,SC,691,39232.88133,6829.97974,5260.628075
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MD,697,10469.2726,9942.71736,8386.400287
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,LA,741,32489.82861,6390.145749,4972.497976
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MA,757,25593.38705,9355.628798,7774.17041
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,VA,814,31534.16708,7135.785012,5347.7543
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NJ,853,40982.66471,7523.611958,6130.603751
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AL,870,35029.83218,5939.558621,4728.32069
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MO,901,28050.18757,6472.690344,5158.173141
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,GA,954,31533.95178,6564.280922,5255.569182
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TN,977,29796.48618,6293.955988,4778.073695
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IN,1043,29937.33078,6725.905081,5222.53116
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NC,1048,26570.74427,7033.669847,5599.462786
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OH,1184,31284.28463,6984.610642,5246.023649
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MI,1204,24999.07475,7532.803156,5882.79485
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,PA,1211,33760.7531,6916.416185,5300.090834
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IL,1231,37006.29001,7484.809098,5486.116166
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NY,1404,24311.07194,8475.220085,6603.161681
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA,1935,63246.88527,8857.077003,7404.752455
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX,2579,36132.38697,6823.00853,5315.649089
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,FL,2719,44855.50129,6462.350864,4936.08459
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,WY,29,15128.31034,7883.068966,6868.172414
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,ND,31,18275.35484,6708.129032,5501.967742
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,AK,38,45167.5,10421.34211,9374.184211
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,HI,39,23822.46154,9307.974359,7015.025641
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,VT,53,26240.09434,11190.56604,8027.207547
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,UT,55,19162.96364,7334.836364,4857.709091
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,ID,56,14721.69643,6131.196429,5166.214286
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MT,57,17301.54386,6077.45614,5097.438596
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,SD,63,22315.39683,6840.269841,5553.714286
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,RI,79,27660.67089,7729.734177,6282.962025
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NM,116,21271.5,8414.431034,6640.413793
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,DC,118,32315.16949,10233.55085,7362.118644
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,ME,126,20557.09524,7733.793651,6091.18254
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NE,135,21946.55556,6902.303704,5265.066667
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NH,137,22660.50365,7238.029197,5716.540146
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,DE,147,20275.84354,8272.979592,6314.680272
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NV,151,46332.68874,7193.649007,6105.430464
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,OR,155,20732.12903,7827.632258,5813.03871
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,KS,226,31031.64602,6075.336283,5090.513274
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,IA,231,22019.78355,6794.073593,4994.186147
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,WV,239,15293.66946,6527.514644,4838.451883
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,CO,255,31829.02353,6701.431373,5345.243137
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,WA,277,25615.2491,7361.194946,5944.722022
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,LA,313,22901.01278,6554.249201,5095.485623
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,AR,333,17895.62763,5731.951952,4721.306306
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,AZ,340,34736.52647,6945.75,5763.535294
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,OK,345,23056.7971,6186.910145,5106.257971
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,CT,380,31275.07895,8921.460526,7228.965789
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MS,386,22034.42487,6154.670984,4834.199482
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MN,444,19589.15991,7535.894144,5852.871622
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,SC,457,29597.18381,6716.684902,5165.654267
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,KY,490,21432.23469,6571.3,5156.146939
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,WI,513,21212.13645,7118.888889,5555.94347
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,TN,589,22370.27844,5871.033956,4751.891341
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,AL,611,26178.95581,5807.662848,4517.749591
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MO,672,22562.90923,6482.334821,5250.416667
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,IN,676,21404.2574,6562.186391,5010.050296
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,VA,772,21508.64896,6885.738342,5058.257772
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,GA,809,24853.66749,6742.671199,5321.755253
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MA,862,16692.14733,8481.256381,7047.830626
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NC,979,20900.28192,7086.38713,5404.861083
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MI,1098,16147.34517,6859.282332,5587.523679
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,OH,1214,20358.16969,6768.726524,5117.462932
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MD,1222,12753.41326,11890.57119,10704.31833
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NJ,1404,53532.3433,7480.623219,6149.846866
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,PA,1544,32104.9987,7264.750648,5286.560233
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,IL,1762,25690.53235,7083.591373,5590.92622
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,TX,1799,31976.47526,6844.232907,5302.65592
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,CA,1875,46470.48213,9163.92,7610.8624
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,FL,2486,31978.32422,6242.115044,4974.794851
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,NY,2714,32504.50221,10061.67649,7970.190862
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,WY,38,30797,15065.23684,14112.47368
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,AK,90,71894.64444,20889.94444,19553.67778
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,VT,122,29570.5082,16377.91803,14464.41803
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,SD,170,35778.41176,12777.83529,11318.92941
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MT,171,30708.80117,12152.35673,11006.59649
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,ID,223,31319.43049,12612.92825,11363.44395
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,RI,226,39766.56195,15299.21239,13800.80088
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NM,245,43203.42449,20034.72653,18820.66531
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,ND,249,26225.19277,12022.50602,10706.28514
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,HI,281,41155.22776,17067.5089,14082.70463
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,DC,282,75361.55674,19640.59929,15812.60638
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,UT,298,29200.72148,12526.33557,10428.41611
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,ME,309,26608.73139,13289.76052,11883.23625
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NH,312,36140.13462,14262.74038,12672.45192
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,DE,313,34923.57508,14630.05751,12695.78275
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NE,355,40075.50423,13136.01972,11264.78873
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NV,535,84472.00561,13887.85421,11991.50093
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,WV,548,31341.11496,12898.88686,10959.04562
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,CO,560,64148.79821,13583.14643,11414.95893
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,OR,580,35182.86207,14248.7569,12497.2931
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,IA,634,32818.73817,12707.47792,10934.27603
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,KS,694,51027.82133,12062.55043,10694.12248
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,AR,894,31314.57047,10966.18456,9911.063758
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,CT,950,51417.26316,16770.21158,14900.20526
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MN,966,40073.56315,14329.85611,12468.03106
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,AZ,1033,51127.23621,13795.12391,11930.67764
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,LA,1106,46553.33816,12053.96564,10472.01627
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MS,1151,39471.75152,11622.07385,10566.70721
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,OK,1151,41014.31364,11983.596,10267.78627
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,WI,1155,35924.69177,13208.19134,11436.28918
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,SC,1304,50869.28604,13169.08972,11148.98466
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,KY,1347,40023.03415,13038.72977,11285.9807
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,AL,1485,49398.73737,11530.05724,9945.084848
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,WA,1532,43358.79765,13897.49282,12073.34726
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,IN,1680,37560.03214,12141.66845,10662.14702
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MA,1728,36204.67535,16646.59375,14914.59317
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MD,1753,17231.03423,16079.53052,14975.88477
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MO,1761,42008.50256,12373.81317,10851.38217
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,GA,2120,43766.18962,12445.14811,11063.7566
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NJ,2123,98737.35422,14303.4277,12695.35798
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,VA,2330,39644.24893,12907.67597,10713.36996
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,TN,2342,41692.63279,11297.655,10010.9953
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MI,2728,33363.76723,13458.5165,11795.8783
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,OH,2756,45272.9688,13453.76597,11109.83853
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NC,3116,35405.36329,13374.70122,11270.53434
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,PA,3237,59761.26382,13648.88106,11112.48533
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,IL,3394,51745.43223,13460.23306,11630.06011
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NY,3868,57144.79679,18120.98811,15705.41417
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,FL,4736,61165.75401,11972.76457,10580.99852
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,TX,5260,61936.22928,13062.00798,11211.01901
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,CA,5901,95068.73276,17677.05423,15968.02271
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,WY,115,23014.35652,9757.626087,8701.895652
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,AK,156,41144.33333,11449.64103,9870.666667
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,VT,200,22338.92,10037.98,8459.22
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,RI,277,25443.08664,8761.516245,7159.296029
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,ND,312,18412.00962,7414.025641,6111.269231
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,HI,334,30519.74251,10575.22455,8566.329341
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,MT,358,18249.61173,7282.427374,6075.379888
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,SD,364,24999.17033,7931.173077,6570.373626
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,ID,372,20776.19892,7348.768817,6145.360215
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,DC,381,40998.64829,11064.52231,8458.711286
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,NM,412,25676.09223,8403.584951,7065.791262
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,NH,492,25600.24593,8040.398374,6714.302846
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,UT,501,20794.22156,7443.409182,5974.025948
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,DE,508,22407.21457,8439.377953,6808.801181
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,ME,548,18338.94708,7799.463504,6471.385036
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,NE,589,26542.35314,7583.342954,6206.027165
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,NV,689,45903.12046,7974.486212,6528.573295
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,OR,892,22179.16928,8383.31278,6795.524664
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,WV,956,20712.84833,7742.506276,5986.246862
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,KS,969,28667.27554,6923.844169,5750.74613
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,CO,992,38573.3619,7665.134073,6152.991935
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,IA,1128,23447.37411,7420.984043,6047.460993
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,CT,1229,30539.16924,9612.41009,7877.54109
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,AR,1412,20746.76275,6639.73017,5500.325779
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,AZ,1495,34821.36054,8187.088963,6588.274247
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,OK,1571,24934.80331,7136.838956,5691.251432
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,MN,1703,24466.62889,8459.440986,6785.495596
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,MS,1711,27782.29515,6867.918177,5740.496201
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,WI,1853,24476.4571,7753.421479,6251.328656
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,LA,1936,27739.8874,7165.205579,5780.452996
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,WA,2027,30538.60039,8342.895905,6828.336951
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,KY,2090,26224.36124,7590.713397,6012.797608
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,SC,2103,31647.88921,7457.887779,5915.720875
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,MA,2414,22325.89768,9749.007042,8364.100663
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,AL,2492,29330.76525,6577.042937,5364.623997
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,MO,2606,27252.15925,7185.267076,5915.498849
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,IN,2746,25675.63183,7264.391843,5915.688638
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,MD,2809,10751.72695,10049.7152,8935.972588
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,TN,3061,26677.95884,6831.101927,5492.623979
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,GA,3345,27766.01495,7240.214649,6006.598206
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,VA,3480,25220.51925,7342.908621,5771.601724
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,NJ,3535,65741.65601,8564.749929,7071.153041
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,OH,4021,27224.33051,7699.936832,5895.635663
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,MI,4075,20700.3811,8026.769816,6601.411288
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,NC,4410,23794.14195,7748.24195,6099.154422
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,PA,5056,38294.07773,8085.30538,6096.515427
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,IL,5108,33914.59749,8205.266053,6498.444401
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,NY,5301,36400.38446,10551.2724,8657.332579
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,FL,7034,40841.60591,7109.550185,5831.549474
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,CA,7782,58207.12452,10025.48972,8557.472501
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,TX,7805,39496.79667,7685.474952,6091.319539
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,WY,93,15580.34409,6951,5620.967742
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,VT,103,17204.51456,7189.728155,5495.436893
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,AK,105,25409.28571,8404.590476,6947.990476
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,HI,158,21431.08861,8769.240506,5946.759494
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,ID,171,15900.2807,5594.163743,3916.695906
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,ND,172,14543.47093,5353.726744,3950.412791
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,RI,187,21250.62032,6683.363636,4994.850267
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MT,197,13870.35533,5335.28934,3898.319797
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,SD,198,19759.73232,5645.494949,4362.762626
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,DC,245,27305.62041,7460.77551,5214.379592
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,UT,281,15754.61566,5539.128114,3959.27758
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,NH,295,21076.55254,6004.491525,4467.474576
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,DE,298,17523.74161,6094.818792,4544.345638
